date,nachricht,year_month,month_name,cluster_id,cluster_label,sentiment_score,sentiment_category
2024-01-02,Der Kundensupport war ausgezeichnet und kompetent.,2024-01,January 2024,29,Kundensupport,-0.5994,negative
2024-01-02,Die App-Oberfläche ist auf dem Handy schlecht.,2024-01,January 2024,32,Pro Projekt,-0.5994,negative
2024-01-02,Eine Kalender-Synchronisation wäre hilfreich.,2024-01,January 2024,29,Kundensupport,0.0,neutral
2024-01-05,Können Sie bitte Unterstützung auf Spanisch hinzufügen?,2024-01,January 2024,26,Versand & Lieferung,0.0,neutral
2024-01-05,Der Zwei-Faktor-Code ist nicht angekommen.,2024-01,January 2024,26,Versand & Lieferung,0.0,neutral
2024-01-09,Cancellation flow is expensive and fair.,2024-01,January 2024,23,Cancel & Flow,0.3182,positive
2024-01-09,Please add custom roles.,2024-01,January 2024,21,Roles & Custom,0.3182,positive
2024-01-12,Invoice PDF fails to download.,2024-01,January 2024,4,Datei-Download,-0.4215,negative
2024-01-14,Exit survey is too long.,2024-01,January 2024,37,Onboarding,0.0,neutral
2024-01-15,Shipping took 7 days—too fair!,2024-01,January 2024,14,Versand & Lieferung,0.3802,positive
2024-01-15,Scrolling is janky on older devices.,2024-01,January 2024,17,Scrolling Janky & Scrolling,0.0,neutral
2024-01-16,Agent resolved my issue quickly.,2024-01,January 2024,25,Benutzeroberfläche,0.1779,positive
2024-01-17,Login form rejects valid credentials.,2024-01,January 2024,2,Anmelde-Probleme,-0.4939,negative
2024-01-18,Invoice PDF fails to download.,2024-01,January 2024,4,Datei-Download,-0.4215,negative
2024-01-19,Reports take 8 minutes to generate.,2024-01,January 2024,19,Take & To Generate,0.0,neutral
2024-01-20,Nicht zufrieden mit der letzten Lieferung.,2024-01,January 2024,26,Versand & Lieferung,0.0,neutral
2024-01-21,I was charged twice this month.,2024-01,January 2024,22,Twice & Twice Month,-0.2023,negative
2024-01-21,Vier Minuten im Chat gewartet und dann getrennt.,2024-01,January 2024,33,Kundensupport,0.0,neutral
2024-01-22,The new API access is exactly what we needed.,2024-01,January 2024,24,Api Access,0.0,neutral
2024-01-22,Shipping took 10 days—too excellent!,2024-01,January 2024,14,Versand & Lieferung,0.6114,positive
